requests_total,connections_total,jobs_processed,cpu_usage_percent,memory_used_percent,connections_current,queue_length,avg_latency,avg_processing_time,request_rate,timestamp
42726,42726,42726,41.07843137,3.90625,0,0,1.322925356,1.319388889,0.346453662,12:39:55
42732,42732,42732,59.73684211,30.51757813,0,0,1.429352654,1.612466667,0.341553385,12:40:10
42738,42738,42738,38.1372549,16.6015625,0,0,1.566673192,1.718222222,0.346413656,12:40:25
42741,42741,42741,46.8627451,2.44140625,0,0,1.733362405,1.915333333,0.340893596,12:40:40
42750,42750,42750,43.88888889,8.056640625,0,0,1.820316012,1.817333333,0.345887779,12:40:55
42753,42753,42753,48.47826087,10.00976563,0,0,1.863965962,1.859611111,0.333197586,12:41:10
42762,42762,42759,56.015625,11.71875,3,3,1.684978738,1.681277778,0.403985995,12:41:25
42765,42765,42765,42.67241379,11.96289063,0,0,1.641028353,1.63547619,0.33387743,12:41:40
42768,42768,42768,30.52083333,18.5546875,0,0,1.476346093,1.4714,0.357739089,12:41:55
42777,42777,42774,62.62711864,13.91601563,3,3,1.783040109,1.776777778,0.389653765,12:42:10
42780,42780,42780,56.12068966,7.568359375,0,0,1.88764311,2.2764,0.35745776,12:42:25
42786,42786,42786,30.81632653,15.86914063,0,0,1.706993912,2.030722222,0.333395073,12:42:40
42792,42792,42789,62.75,11.96289063,3,3,1.718841655,2.044666667,0.388960919,12:42:55
42795,42795,42795,50.26785714,27.83203125,0,0,1.596694703,1.595333333,0.356913413,12:43:10
42801,42801,42801,45.67307692,2.197265625,0,0,1.920412734,1.918388889,0.333043462,12:43:25
42807,42807,42804,66.45454545,26.85546875,3,3,2.063830325,2.0618,0.35697287,12:43:40
42813,42813,42813,32.34042553,2.9296875,0,0,1.827830161,1.824944444,0.333660815,12:43:55
42816,42816,42816,44.73214286,15.13671875,0,0,1.849088911,1.846666667,0.346640476,12:44:10
42822,42822,42819,63.25,11.71875,3,3,1.807577552,1.804866667,0.341709001,12:44:25
42828,42828,42828,43.33333333,1.220703125,0,0,1.997769031,2.323111111,0.34636033,12:44:40
42831,42831,42831,41.09090909,5.126953125,0,0,2.109474872,2.5002,0.341095143,12:44:55
42840,42840,42840,49.453125,10.7421875,0,0,2.12980178,2.407761905,0.34611391,12:45:10
42843,42843,42843,24.18367347,19.04296875,0,0,1.912281369,1.9085,0.333240766,12:45:25
42852,42852,42849,58.984375,8.544921875,3,3,1.780156509,1.776555556,0.403776269,12:45:40
42855,42855,42855,41.03773585,25.390625,0,0,1.646797827,1.643380952,0.333537162,12:45:55
42858,42858,42858,42.36363636,27.34375,0,0,1.702970072,1.700466667,0.357508878,12:46:10
42867,42867,42865,46.90909091,21.97265625,2,2,1.542042927,1.583421053,0.389465875,12:46:25
42870,42870,42870,46.22641509,15.625,0,0,1.531507238,1.8462,0.317937081,12:46:40
42873,42873,42873,35.9375,6.591796875,0,0,1.379691707,1.694266667,0.357449242,12:46:55
42882,42882,42879,51.7,23.92578125,3,3,1.438172652,1.699333333,0.389069013,12:47:10
42885,42885,42885,55.61403509,41.9921875,0,0,1.687571529,1.685133333,0.357040845,12:47:25
42891,42891,42891,36.95652174,40.77148438,0,0,1.799977385,1.797333333,0.333185251,12:47:40
42897,42897,42895,56.26865672,41.25976563,2,2,1.750578835,1.747578947,0.403745218,12:47:55
42903,42903,42903,47.05882353,5.37109375,0,0,1.897570094,1.895166667,0.333598977,12:48:10
42906,42906,42906,50.52083333,4.150390625,0,0,1.889552551,1.887111111,0.3465337,12:48:25
42912,42912,42909,56.71875,0.48828125,3,3,2.022772798,2.021071429,0.341584497,12:48:40
42918,42918,42918,45.18867925,6.103515625,0,0,2.035884259,2.359277778,0.346353666,12:48:55
42921,42921,42921,36.42857143,26.3671875,0,0,1.892193261,2.280666667,0.341118414,12:49:10
42930,42930,42930,53.87931034,21.72851563,0,0,1.965391698,2.242285714,0.346133877,12:49:25
42933,42933,42933,29.80769231,43.45703125,0,0,1.886052121,1.883722222,0.333179084,12:49:40
42936,42936,42936,37.55319149,20.01953125,0,0,1.828755602,1.8236,0.35695588,12:49:55
42945,42945,42945,51.61538462,0.48828125,0,0,1.939339624,1.933095238,0.333537162,12:50:10
42948,42948,42948,28.84615385,38.33007813,0,0,1.898142234,1.8908,0.357611157,12:50:25
42957,42957,42956,58.85245902,27.09960938,1,1,1.914859004,2.009,0.389567024,12:50:40
42960,42960,42960,26.63461538,6.591796875,0,0,1.716295865,1.899238095,0.333914592,12:50:55
42963,42963,42963,25.32608696,13.42773438,0,0,1.39440081,1.6532,0.357474798,12:51:10
42972,42972,42970,63.72881356,11.47460938,2,2,1.40550689,1.609210526,0.389177168,12:51:25
42975,42975,42975,43.47457627,7.8125,0,0,1.587243338,1.584533333,0.357134354,12:51:40
42981,42981,42981,41.78571429,24.16992188,0,0,1.906101555,1.904,0.333259276,12:51:55
42987,42987,42984,47.40740741,36.37695313,3,3,1.795243309,1.792666667,0.403768506,12:52:10
42990,42990,42990,48.46774194,11.23046875,0,0,1.781122734,1.777733333,0.341017597,12:52:25
42996,42996,42996,41.50943396,31.00585938,0,0,1.593828909,1.590777778,0.346313683,12:52:40
43002,43002,42999,55.16393443,9.765625,3,3,1.682010814,1.6796,0.341537831,12:52:55
43008,43008,43008,23.08510638,28.3203125,0,0,1.622234012,1.944666667,0.3465337,12:53:10
43011,43011,43011,42.28070175,1.46484375,0,0,1.845046925,2.1675,0.333722676,12:53:25
43020,43020,43020,47.20338983,0,0,0,1.779691352,2.056047619,0.346193792,12:53:40
43023,43023,43023,45.49019608,14.40429688,0,0,1.698868476,1.697666667,0.333271616,12:53:55
43026,43026,43026,29.5,49.31640625,0,0,1.711328623,1.709733333,0.357006855,12:54:10
43035,43035,43035,44.64285714,6.8359375,0,0,1.788003337,1.783761905,0.333469191,12:54:25
43038,43038,43038,42.69230769,28.3203125,0,0,1.749451092,1.744,0.319301379,12:54:40
43041,43041,43041,27.60416667,50.29296875,0,0,1.706402405,1.700933333,0.357466279,12:54:55
43050,43050,43050,55.32786885,3.662109375,0,0,1.926547882,2.228473684,0.33389601,12:55:10
43053,43053,43053,49.25531915,8.7890625,0,0,1.962101717,2.3484,0.357602632,12:55:25
43062,43062,43059,52.81818182,0.48828125,3,3,2.007640201,2.329277778,0.389350341,12:55:40
43065,43065,43065,61.01851852,6.103515625,0,0,2.007439507,2.283285714,0.346220427,12:55:55
43071,43071,43071,35.88235294,13.91601563,0,0,1.881419008,1.879666667,0.333320988,12:56:10
43077,43077,43074,60.5,21.97265625,3,3,1.915449193,1.912722222,0.40375298,12:56:25
43080,43080,43080,40.625,24.90234375,0,0,1.794363476,1.789333333,0.341040857,12:56:40
43086,43086,43086,38.7037037,4.8828125,0,0,1.831829548,1.827055556,0.346347001,12:56:55
43092,43092,43089,57.66129032,39.79492188,3,3,1.86589188,1.862333333,0.341654519,12:57:10
43098,43098,43098,41.66666667,10.00976563,0,0,2.088879874,2.407055556,0.346600427,12:57:25
43101,43101,43101,47.44897959,12.93945313,0,0,2.068317714,2.386888889,0.333778371,12:57:40
43107,43107,43104,46.98275862,19.04296875,3,3,1.907671382,2.290066667,0.357185379,12:57:55
43113,43113,43113,49.78723404,23.68164063,0,0,1.908065954,1.904,0.333283958,12:58:10
43116,43116,43116,46.05769231,15.625,0,0,1.905531007,1.9004,0.357023849,12:58:25
43125,43125,43125,32.21153846,16.84570313,0,0,1.69851594,1.690428571,0.333487726,12:58:40
43128,43128,43128,39.23728814,2.685546875,0,0,1.631967299,1.624666667,0.333493904,12:58:55
43131,43131,43131,27.44186047,44.18945313,0,0,1.285809232,1.277866667,0.357483317,12:59:10
43140,43140,43140,44.42307692,7.568359375,0,0,1.517312717,1.70395,0.33401993,12:59:25
43143,43143,43143,44.52830189,0,0,0,1.653251081,1.9082,0.357739089,12:59:40
43152,43152,43150,63.50877193,44.18945313,2,2,1.7106577,1.910368421,0.389473099,12:59:55
43155,43155,43155,39.1509434,38.33007813,0,0,1.749118797,1.745944444,0.346233746,12:00:10
43158,43158,43158,38.87931034,24.4140625,0,0,1.660862219,1.657333333,0.341009844,12:00:25
43167,43167,43167,41.48148148,14.40429688,0,0,1.890543804,1.886619048,0.40385392,12:00:40
43173,43173,43171,61.8852459,24.4140625,2,2,2.00980888,2.1324375,0.409016542,12:00:55
43182,43182,43179,48.04347826,28.3203125,3,3,1.837695032,2.121571429,0.461449721,12:01:10
43185,43185,43185,64.02985075,16.11328125,0,0,1.882754504,2.166190476,0.3894081,12:01:25
43194,43194,43194,68.48484848,0.732421875,0,0,1.875267364,2.048,0.404468413,12:01:40
43197,43197,43197,41.48148148,5.859375,0,0,1.978596716,1.973904762,0.389487546,12:01:55
43203,43203,43200,57.01612903,13.671875,3,3,1.980548853,1.975333333,0.428581633,12:02:10
43212,43212,43209,49.51923077,8.7890625,3,3,2.08082623,2.07652381,0.444436214,12:02:25
43215,43215,43215,61.61290323,5.615234375,0,0,2.023251506,2.022,0.428540819,12:02:40
43218,43218,43218,47.65306122,14.89257813,0,0,2.048637799,2.047277778,0.318616379,12:02:55
43227,43227,43227,39.47368421,20.01953125,0,0,1.932693733,1.927714286,0.388708931,12:03:10
43233,43233,43232,52.33333333,6.8359375,1,1,1.716991363,1.710941176,0.42832667,12:03:25
43242,43242,43239,52.75510204,16.84570313,3,3,1.738291845,1.732666667,0.445004821,12:03:40
43245,43245,43245,60.25862069,16.6015625,0,0,1.700148489,1.69747619,0.404561917,12:03:55
43254,43254,43254,67.12121212,26.85546875,0,0,1.900313861,1.897636364,0.389530894,12:04:10
43257,43257,43257,41.18644068,19.28710938,0,0,1.941049502,1.938428571,0.403822856,12:04:25
43263,43263,43261,57.93650794,43.45703125,2,2,2.004934816,2.002875,0.409165303,12:04:40
43272,43272,43270,37.7,5.126953125,2,2,1.681333962,1.859545455,0.461636115,12:04:55
43275,43275,43275,52.13114754,3.41796875,0,0,1.506548565,1.724388889,0.408877178,12:05:10
43284,43284,43284,66.37681159,15.13671875,0,0,1.718019139,1.888,0.403590029,12:05:25
43287,43287,43287,16.82692308,49.07226563,0,0,1.608721531,1.605857143,0.389198806,12:05:40
43293,43293,43293,45.16949153,4.638671875,0,0,1.519395447,1.516444444,0.429358586,12:05:55
43302,43302,43299,33.7755102,11.47460938,3,3,1.435497018,1.432761905,0.445013072,12:06:10
43305,43305,43305,61.98630137,4.8828125,0,0,1.605322817,1.602666667,0.428469412,12:06:25
43314,43314,43314,62.3943662,8.544921875,0,0,1.884590827,2.161809524,0.388867285,12:06:40
43317,43317,43317,39.33962264,5.126953125,0,0,1.841639287,2.118857143,0.388874486,12:06:55
43323,43323,43320,62.71186441,33.69140625,3,3,1.940250485,2.328666667,0.428642869,12:07:10
43332,43332,43329,50.28301887,25.87890625,3,3,1.879034274,2.154952381,0.44411547,12:07:25
43335,43335,43335,65.53030303,14.6484375,0,0,1.92848893,1.923055556,0.428102554,12:07:40
43344,43344,43342,66.91176471,1.953125,2,2,1.917630666,1.912363636,0.389234875,12:07:55
43347,43347,43347,18.1,10.98632813,0,0,1.883432456,1.881095238,0.404577505,12:08:10
43353,43353,43350,60.50847458,40.52734375,3,3,1.762901518,1.7602,0.409920066,12:08:25
43362,43362,43359,54.57446809,10.25390625,3,3,1.745782591,2.028809524,0.461502961,12:08:40
43365,43365,43365,62.31884058,12.93945313,0,0,1.925126301,2.256277778,0.409063018,12:08:55
43374,43374,43374,59.73684211,6.34765625,0,0,1.823794072,2.071666667,0.40385392,12:09:10
43377,43377,43377,28.44444444,36.86523438,0,0,1.780813618,1.778809524,0.388809687,12:09:25
43386,43386,43386,46.37096774,10.7421875,0,0,1.55018305,1.548095238,0.40375298,12:09:40
43392,43392,43389,47.64150943,9.765625,3,3,1.54164763,1.539571429,0.444724456,12:09:55
43395,43395,43395,62.72058824,9.521484375,0,0,1.826681683,1.823888889,0.429020879,12:10:10
43404,43404,43404,66.17647059,12.6953125,0,0,1.939389821,2.18775,0.389155532,12:10:25
43407,43407,43407,44.23076923,11.71875,0,0,1.954741121,2.285888889,0.357066343,12:10:40
43413,43413,43410,40,4.8828125,3,3,1.624463615,2.0234,0.380978468,12:10:55
43422,43422,43419,40.20833333,25.390625,3,3,1.646464602,1.930857143,0.444378611,12:11:10
43425,43425,43425,66.47058824,31.98242188,0,0,1.614287684,1.612111111,0.428581633,12:11:25
43434,43434,43434,47.67241379,11.71875,0,0,1.677314365,1.6745,0.38879529,12:11:40
43437,43437,43437,38.36734694,17.578125,0,0,1.683582377,1.680571429,0.403737455,12:11:55
43446,43446,43446,34.0625,40.52734375,0,0,1.511246304,1.785952381,0.389148321,12:12:10
43452,43452,43449,52.7,16.11328125,3,3,1.531042616,1.805714286,0.461982676,12:12:25
43455,43455,43455,47.32142857,9.27734375,0,0,1.566637568,1.888888889,0.409481778,12:12:40
43464,43464,43464,58.06451613,7.080078125,0,0,1.345491373,1.586083333,0.403784033,12:12:55
43467,43467,43467,25.68181818,3.41796875,0,0,1.153392145,1.149944444,0.340831629,12:13:10
43476,43476,43476,43.21428571,2.44140625,0,0,1.299982269,1.296190476,0.403830622,12:13:25
43482,43482,43479,31.77083333,10.98632813,3,3,1.377595918,1.373809524,0.444485601,12:13:40
43485,43485,43485,64.01639344,6.103515625,0,0,1.524900696,1.521166667,0.428622455,12:13:55
43494,43494,43493,64.92857143,10.25390625,1,1,1.70388674,1.870913043,0.389177168,12:14:10
43497,43497,43497,42.32142857,5.37109375,0,0,1.985306258,2.309055556,0.357432207,12:14:25
43506,43506,43506,43.49056604,23.68164063,0,0,1.928391376,2.205857143,0.389162744,12:14:40
43512,43512,43509,43.6440678,2.9296875,3,3,1.952030219,2.229571429,0.44474918,12:14:55
43515,43515,43515,63.26086957,9.765625,0,0,1.913887254,1.908611111,0.428602043,12:15:10
43524,43524,43524,54.50819672,0.244140625,0,0,1.798072171,1.793708333,0.388845684,12:15:25
43527,43527,43527,45.76923077,0.9765625,0,0,1.888210599,1.882888889,0.357074843,12:15:40
43536,43536,43536,30.81632653,27.58789063,0,0,1.535205003,1.721952381,0.388845684,12:15:55
43542,43542,43539,29.57446809,15.625,3,3,1.349749496,1.53647619,0.461556214,12:16:10
43545,43545,43545,58.13559322,9.765625,0,0,1.241866342,1.460833333,0.409314171,12:16:25
43554,43554,43554,61.46551724,0.732421875,0,0,1.487285799,1.574545455,0.404017084,12:16:40
43557,43557,43557,41.07142857,20.26367188,0,0,1.75465564,1.750555556,0.340909091,12:16:55
43566,43566,43566,50.95744681,39.79492188,0,0,1.82909082,1.824285714,0.403683128,12:17:10
43572,43572,43569,45.27777778,14.16015625,3,3,1.805823072,1.800428571,0.444370383,12:17:25
43578,43578,43578,28.29268293,41.015625,0,0,1.631519842,1.627285714,0.403954911,12:17:40
43584,43584,43582,59.01515152,33.93554688,2,2,1.56871702,1.655272727,0.389040182,12:17:55
43587,43587,43587,49.3,0.9765625,0,0,1.64803176,1.978166667,0.357193885,12:18:10
43596,43596,43596,57.82258065,10.98632813,0,0,1.887469849,2.169714286,0.389083431,12:18:25
43602,43602,43599,25.90909091,0.244140625,3,3,1.912028022,2.143235294,0.428775607,12:18:40
43605,43605,43605,64.42028986,40.52734375,0,0,1.90542944,1.902222222,0.380464339,12:18:55
43614,43614,43614,68.68852459,0,0,0,1.9265826,1.924791667,0.388896091,12:19:10
43617,43617,43617,48.61702128,1.46484375,0,0,2.065694545,2.063944444,0.35697287,12:19:25
43626,43626,43626,57.19298246,23.19335938,0,0,2.061296473,2.343428571,0.388824085,12:19:40
43632,43632,43629,49.58333333,17.08984375,3,3,2.014093401,2.296666667,0.461636115,12:19:55
43638,43638,43638,47.7,5.615234375,0,0,1.898487708,2.180904762,0.389011355,12:20:10
43644,43644,43644,56.25,3.90625,0,0,1.756028999,2.002708333,0.403884989,12:20:25
43647,43647,43647,25.66666667,3.90625,0,0,1.475654911,1.473611111,0.340398493,12:20:40
43656,43656,43656,46.2962963,3.662109375,0,0,1.608071238,1.602761905,0.4032955,12:20:55
43662,43662,43659,44.55555556,36.37695313,3,3,1.543471169,1.536666667,0.408385516,12:21:10
43668,43668,43668,48.85416667,8.544921875,0,0,1.876471878,1.871238095,0.403815091,12:21:25
43674,43674,43674,62.83333333,13.91601563,0,0,1.854664199,2.023782609,0.38909064,12:21:40
43677,43677,43677,26.5,8.056640625,0,0,1.73864615,1.955166667,0.357432207,12:21:55
43686,43686,43686,46.22807018,11.96289063,0,0,1.565020521,1.750761905,0.389133899,12:22:10
43692,43692,43689,33.90243902,2.197265625,3,3,1.266170185,1.2638,0.428581633,12:22:25
43698,43698,43698,36.04651163,18.5546875,0,0,1.607099946,1.604619048,0.388514764,12:22:40
43704,43704,43701,68.30769231,73.97460938,3,3,1.717410538,1.714428571,0.388514764,12:22:55
43707,43707,43707,51.93877551,3.662109375,0,0,2.062551118,2.059888889,0.356692745,12:23:10
43716,43716,43716,46.91489362,4.638671875,0,0,1.693105141,1.978095238,0.388450084,12:23:25
43722,43722,43719,48.94230769,20.99609375,3,3,1.746498757,2.079888889,0.428479612,12:23:40
43728,43728,43728,39.36170213,53.46679688,0,0,1.532945168,1.816761905,0.389018562,12:23:55
43734,43734,43734,48.36363636,15.86914063,0,0,1.480072898,1.727625,0.404055952,12:24:10
43737,43737,43737,41.55172414,10.00976563,0,0,1.518288411,1.514055556,0.341157205,12:24:25
43746,43746,43746,36.73913043,6.34765625,0,0,1.505575444,1.503333333,0.403884989,12:24:40
43752,43752,43749,50.3,14.6484375,3,3,1.763341012,1.761666667,0.408765755,12:24:55
43758,43758,43758,45.8490566,1.953125,0,0,1.538625881,1.534,0.403535742,12:25:10
43764,43764,43764,58.81355932,36.37695313,0,0,1.432827959,1.428666667,0.388327971,12:25:25
43773,43773,43770,58.33333333,34.66796875,3,3,1.614638223,1.610047619,0.403543496,12:25:40
43776,43776,43776,58.48214286,25.14648438,0,0,1.932759046,1.927714286,0.388730517,12:25:55
43782,43782,43779,54.7826087,3.41796875,3,3,2.105501537,2.102066667,0.428734756,12:26:10
43788,43788,43788,47.87234043,8.7890625,0,0,2.101987695,2.099285714,0.389032975,12:26:25
43794,43794,43794,44.33962264,49.31640625,0,0,1.716852326,1.714666667,0.428602043,12:26:40
43797,43797,43797,28.93617021,16.6015625,0,0,1.534486338,1.533,0.317723712,12:26:55
43806,43806,43806,46.98275862,9.765625,0,0,1.484575043,1.774095238,0.388629802,12:27:10
43812,43812,43809,26.91489362,14.89257813,3,3,1.449969088,1.8558,0.428163654,12:27:25
43818,43818,43818,43.77358491,15.625,0,0,1.756063851,2.045142857,0.388342333,12:27:40
43824,43824,43824,60,24.90234375,0,0,1.691389032,1.943875,0.403559006,12:27:55
43833,43833,43831,43.44827586,52.24609375,2,2,1.613194341,1.610954545,0.38879529,12:28:10
43836,43836,43836,39.53703704,4.39453125,0,0,1.432070709,1.430238095,0.404017084,12:28:25
43842,43842,43839,36.66666667,0.48828125,3,3,1.099063502,1.097,0.409370025,12:28:40
43848,43848,43848,33.57142857,19.04296875,0,0,1.440528383,1.438380952,0.403908294,12:28:55
43854,43854,43854,57.71929825,20.99609375,0,0,1.541444448,1.538888889,0.408849316,12:29:10
43863,43863,43860,48.4,20.5078125,3,3,1.640746191,1.638380952,0.403582273,12:29:25
43866,43866,43866,62.71929825,9.521484375,0,0,1.607209421,1.604571429,0.388299249,12:29:40
43872,43872,43869,49.2,3.90625,3,3,1.889533311,1.8876,0.428082192,12:29:55
43878,43878,43878,26.4893617,40.0390625,0,0,1.626581036,1.624428571,0.38865138,12:30:10
43884,43884,43884,58.30769231,1.220703125,0,0,1.554074632,1.5525,0.428724544,12:30:25
43893,43893,43890,51.01851852,3.90625,3,3,1.561873677,1.559857143,0.389083431,12:30:40
43896,43896,43896,49.66666667,64.69726563,0,0,1.665110906,1.947,0.389083431,12:30:55
43902,43902,43899,29.22222222,38.33007813,3,3,1.648135789,2.042933333,0.428683703,12:31:10
43908,43908,43908,45.66037736,25.87890625,0,0,1.786878716,2.067761905,0.388773697,12:31:25
43914,43914,43914,50.25862069,17.08984375,0,0,1.615005183,1.612277778,0.428285905,12:31:40
43923,43923,43920,57.09090909,13.671875,3,3,1.65420103,1.652047619,0.388335152,12:31:55
43926,43926,43926,51.31578947,20.26367188,0,0,1.553278772,1.551809524,0.403465965,12:32:10
43932,43932,43929,47.01923077,0.244140625,3,3,1.679639887,1.678066667,0.408802889,12:32:25
43938,43938,43938,47.94117647,17.08984375,0,0,1.85192328,1.850095238,0.403985995,12:32:40
43944,43944,43942,71.30769231,19.77539063,2,2,1.974860095,2.0940625,0.409425894,12:32:55
43953,43953,43951,51.953125,24.16992188,2,2,1.941728404,2.208681818,0.403985995,12:33:10
43956,43956,43956,43.23529412,3.41796875,0,0,1.92685564,2.206619048,0.388809687,12:33:25
43965,43965,43965,66.89393939,1.953125,0,0,1.884814248,2.055434783,0.4036133,12:33:40
43968,43968,43968,43.07692308,15.13671875,0,0,1.85336846,1.851190476,0.388378243,12:33:55
43974,43974,43974,49.49152542,7.080078125,0,0,1.793223057,1.79,0.428122919,12:34:10
43983,43983,43983,55.98360656,53.46679688,0,0,1.580625015,1.742958333,0.388665766,12:34:25
43986,43986,43986,46.07843137,6.8359375,0,0,1.461264418,1.679111111,0.428683703,12:34:40
43992,43992,43989,49.90196078,8.056640625,3,3,1.702851451,1.9658,0.382783288,12:34:55
43998,43998,43998,40.09090909,8.544921875,0,0,1.890719945,2.078380952,0.389105058,12:35:10
44004,44004,44001,62.25352113,1.220703125,3,3,2.037513781,2.035466667,0.428775607,12:35:25
44013,44013,44010,57.7,23.4375,3,3,1.790019553,1.788095238,0.388903293,12:35:40
44016,44016,44016,56.77966102,14.89257813,0,0,1.846392797,1.844285714,0.403706409,12:35:55
44025,44025,44025,67.10144928,20.01953125,0,0,1.934321197,1.932333333,0.388486015,12:36:10
44028,44028,44028,33.55555556,4.150390625,0,0,1.921828184,1.919666667,0.403559006,12:36:25
44034,44034,44034,60.625,28.3203125,0,0,1.809270606,1.806722222,0.408700786,12:36:40
44043,44043,44041,51.66666667,24.90234375,2,2,1.713532112,1.710363636,0.403807326,12:36:55
44046,44046,44046,51.05769231,17.33398438,0,0,1.629164182,1.625444444,0.409351405,12:37:10
44055,44055,44055,55.56451613,49.31640625,0,0,1.710160782,1.707142857,0.404102604,12:37:25
44058,44058,44058,43.84615385,3.41796875,0,0,1.734843841,1.73147619,0.388975328,12:37:40
44064,44064,44061,55.75,9.765625,3,3,1.687570898,1.685666667,0.42835725,12:37:55
44073,44073,44070,52.5,36.1328125,3,3,1.838072401,1.835571429,0.38841416,12:38:10
44076,44076,44076,43.21428571,13.42773438,0,0,1.763749787,2.102166667,0.428122919,12:38:25
44085,44085,44085,69.24242424,12.6953125,0,0,1.891432938,2.142708333,0.388629802,12:38:40
44088,44088,44088,47.90697674,11.71875,0,0,1.792507352,2.080619048,0.388629802,12:38:55
44094,44094,44092,55.55555556,1.220703125,2,2,1.71709222,1.7073125,0.428653077,12:39:10
44103,44103,44100,50.3,41.25976563,3,3,1.816443008,1.808714286,0.38920602,12:39:25
44106,44106,44106,50.37735849,24.16992188,0,0,1.663645162,1.656888889,0.428939091,12:39:40
44115,44115,44115,67.79661017,8.056640625,0,0,1.826757305,1.822521739,0.389018562,12:39:55
44118,44118,44118,32.34693878,10.00976563,0,0,1.673047159,1.66847619,0.40371417,12:40:10
44124,44124,44124,53.78787879,11.96289063,0,0,1.672681221,1.667944444,0.408654392,12:40:25
44133,44133,44130,61.05263158,14.40429688,3,3,1.540521315,1.535666667,0.4036133,12:40:40
44136,44136,44136,55.48387097,18.31054688,0,0,1.662002848,1.656944444,0.408431849,12:40:55
44145,44145,44145,57.19298246,15.38085938,0,0,1.557760223,1.553142857,0.403535742,12:41:10
44148,44148,44148,45.57692308,14.16015625,0,0,1.744899408,1.741047619,0.388953715,12:41:25
44157,44157,44157,47.3,0,0,0,1.516809464,1.513,0.404242623,12:41:40
44163,44163,44160,53.46774194,5.126953125,3,3,1.675398615,1.670380952,0.389069013,12:41:55
44166,44166,44166,45.10416667,1.46484375,0,0,1.565446233,1.897222222,0.428316478,12:42:10
44175,44175,44175,63.85245902,18.5546875,0,0,1.796928524,2.080809524,0.388421345,12:42:25
44178,44178,44178,36.62162162,0.48828125,0,0,1.533475509,1.868,0.356803045,12:42:40
44184,44184,44181,54.23728814,1.708984375,3,3,1.488608541,1.486066667,0.428163654,12:42:55
44193,44193,44190,56.03773585,2.197265625,3,3,1.568005862,1.565857143,0.388241819,12:43:10
44196,44196,44196,59.91666667,4.8828125,0,0,1.809734783,1.807944444,0.428051652,12:43:25
44205,44205,44205,63.85714286,0,0,0,1.8511247,1.845458333,0.388953715,12:43:40
44208,44208,44208,41.98113208,6.34765625,0,0,1.838296239,1.831952381,0.404304884,12:43:55
44217,44217,44217,22.5,17.578125,0,0,1.565062162,1.84947619,0.389069013,12:44:10
44223,44223,44223,46.25,17.08984375,0,0,1.506920634,1.755958333,0.403566761,12:44:25
44226,44226,44226,29.63414634,2.197265625,0,0,1.1267638,1.464277778,0.408598733,12:44:40
44235,44235,44235,65.57971014,0.732421875,0,0,1.41453397,1.505,0.403706409,12:44:55
44238,44238,44238,44.25925926,1.708984375,0,0,1.883531277,1.881666667,0.340220917,12:45:10
44247,44247,44247,41.80851064,25.390625,0,0,2.022860763,2.020809524,0.4032955,12:45:25
44253,44253,44251,62.77777778,46.875,2,2,1.975572479,2.062409091,0.388708931,12:45:40
